state name,mean temp,mean diurnal range,isothermality,temp seasonality,Max Temp of Warmest Month,Min temp of coldest month,Mean Temp fo Wettest Quarter,Mean Temp of Driest Quarter,Mean temp of Warmest Quarter,Mean temp of Coldest Quarter,Annual Precip,Precip of Wettest Month,Precip of Driest Month,Precip of Wettest Quarter,Precip of Driest Quarter,Precip of Warmest Quarter,Precip of Coldest Quarter,Kudzu,Japanese honeysuckle,Norway Maple
Alabama,1,2,1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,0
Arizona,1,1,2,3,2,2,3,1,2,3,3,3,3,3,3,3,3,0,1,0
Arkansas,1,2,1,2,1,1,2,1,1,2,2,1,1,2,2,2,1,1,1,0
california,2,1,1,3,2,1,3,1,2,2,3,3,3,3,3,3,3,0,1,0
colorado,3,2,2,2,3,3,2,3,3,3,3,3,3,3,3,2,3,0,0,0
Conneticut,2,2,2,1,2,3,3,3,1,2,2,2,1,2,2,2,2,1,1,1
delaware,2,2,2,1,2,3,3,3,1,2,2,2,1,2,1,2,2,1,1,1
Florida,1,2,1,3,1,1,1,2,1,2,1,2,2,2,2,1,2,1,1,0
Georgia,1,2,1,2,1,1,3,1,1,2,2,2,1,1,2,1,1,1,1,0
Idaho,3,2,2,3,3,2,3,1,3,3,3,3,1,2,3,3,3,0,0,1
Illinois,1,3,2,3,2,2,1,2,1,1,1,2,2,2,2,2,3,1,1,1
Indiana,2,3,3,3,2,2,2,2,1,1,1,2,1,2,3,2,3,1,1,1
Iowa,2,3,1,1,1,2,1,2,1,2,1,2,2,2,3,2,3,0,0,0
Kansas,1,1,1,1,1,2,1,2,1,2,2,2,2,2,3,2,3,1,1,0
Kentucky,2,3,3,3,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1
Louisiana,1,2,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,0
Maine,2,2,3,1,2,2,2,3,1,2,2,2,1,2,2,2,2,0,1,1
Maryland,2,2,2,1,2,2,3,2,1,2,2,2,1,2,2,2,2,1,1,1
Massachusets,3,2,2,1,2,2,2,2,2,2,2,2,1,2,3,2,2,1,1,1
Michigan,3,3,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,1,1,1
Minesotta,3,3,3,1,2,2,2,3,1,2,2,2,1,2,2,1,3,0,0,1
Mississippi,1,2,1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,0
Missouri,2,2,2,1,2,1,1,3,1,2,1,2,1,2,1,1,3,1,1,0
Montana,2,3,1,3,2,2,2,3,2,2,2,2,1,2,3,3,3,0,0,1
Nebraska,2,2,1,1,1,2,1,2,2,2,2,2,2,2,3,2,3,1,1,0
Nevada,3,3,2,2,3,3,3,1,2,3,3,3,3,3,3,3,3,0,1,0
New Hampshire,3,2,2,1,2,3,2,3,1,2,2,2,1,2,1,2,2,0,1,1
New Jersey,3,2,2,1,2,3,2,2,1,2,2,2,1,2,2,2,2,1,1,1
New Mexic,1,1,1,2,2,3,1,1,3,2,3,2,3,3,3,3,3,0,1,0
New York,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,1,1,1
North Corlina,1,2,1,2,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1
North Dakota,2,2,2,1,1,2,2,3,2,2,3,3,3,3,3,2,3,0,0,0
Ohio,2,3,3,2,1,1,3,2,1,1,2,2,2,2,3,2,3,1,1,1
Okhlamhoma,1,2,1,2,1,2,1,2,1,2,2,1,2,2,1,2,3,1,1,0
Oregon,3,3,1,3,3,2,3,1,3,3,2,3,1,3,3,3,3,1,0,0
Pennslyvania,2,2,2,2,1,3,2,2,1,2,2,2,2,2,3,1,2,1,1,1
Rhode ISland,2,2,2,1,2,3,2,2,1,2,2,2,2,2,1,2,2,0,1,1
South Carolina,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,0
South Dakota,2,3,2,1,1,2,2,3,2,2,3,3,3,3,3,2,3,0,0,0
Tennessee,2,2,1,1,2,2,2,1,2,2,1,2,2,1,1,2,1,1,1,1
Texas,1,2,1,2,1,1,1,2,2,2,3,3,3,3,3,2,3,1,1,0
Utah,2,1,2,2,2,1,2,3,3,3,3,3,1,3,3,3,3,0,1,0
Vermont,2,2,3,1,3,2,2,3,1,2,2,2,2,2,2,1,2,0,0,1
Virginia,1,2,1,1,2,2,2,2,1,2,2,2,1,2,3,2,2,1,1,1
Washington,3,3,1,3,3,2,3,1,3,2,3,3,1,3,3,3,3,1,0,1
West Virginia,2,3,3,2,2,1,2,3,1,1,1,3,2,2,3,2,3,1,1,1
Wisconsin,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,2,3,0,1,1
Wyoming,3,2,2,2,3,3,2,3,3,3,3,3,1,3,3,2,3,0,0,0
